Year,Week_Number,mean_return,volatility,Label
2020,32,0.138,0.814065722,undefined
2020,33,0.1568,0.324287989,undefined
2020,34,0.6462,0.36472003,undefined
2020,35,-0.4462,1.911817774,undefined
2020,36,-0.6105,2.072832603,undefined
2020,37,-0.121,1.021195378,undefined
2020,38,-0.106,1.603328725,undefined
2020,39,0.3134,1.055009147,undefined
2020,40,0.7742,1.302133902,undefined
2020,41,0.0288,0.925270609,undefined
2020,42,-0.0838,0.8498251,undefined
2020,43,-1.1276,1.656770141,undefined
2020,44,1.4098,0.899440215,undefined
2020,45,0.4534,0.997773171,undefined
2020,46,-0.1514,0.978009867,undefined
2020,47,0.58375,0.751137526,undefined
2020,48,0.3392,0.63357612,undefined
2020,49,-0.192,0.436850089,undefined
2020,50,0.2442,0.746118422,undefined
2020,51,-0.012,0.324330079,undefined
2020,52,0.32975,0.453848268,undefined
2021,1,0.3964,1.052624957,red
2021,2,-0.2926,0.433862075,red
2021,3,0.4765,0.765303643,red
2021,4,-0.6696,1.471265714,green
2021,5,0.9378,0.676114413,green
2021,6,0.2534,0.345301028,green
2021,7,-0.16675,0.191207348,red
2021,8,-0.4942,1.291565213,green
2021,9,0.1844,1.801773654,green
2021,10,0.5402,0.751899727,red
2021,11,-0.1658,0.790755145,green
2021,12,0.3358,0.983302954,green
2021,13,0.29225,0.594869944,green
2021,14,0.5388,0.587109189,red
2021,15,0.2796,0.519621786,green
2021,16,-0.0212,0.958931541,green
2021,17,0.0276,0.46867238,red
2021,18,0.2314,0.576402897,red
2021,19,-0.254,1.562890431,green
2021,20,-0.0768,0.709086172,red
2021,21,0.2454,0.463840813,green
2021,22,0.15325,0.551759836,green
2021,23,0.081,0.246320929,green
2021,24,-0.3798,0.611285285,green
2021,25,0.5586,0.562985169,red
2021,26,0.3316,0.312887839,green
2021,27,0.10575,0.799106741,green
2021,28,-0.192,0.451094779,red
2021,29,0.4008,1.139126507,green
2021,30,-0.0646,0.405338501,green
2021,31,0.182,0.550239493,red
2021,32,0.1546,0.14752898,green
2021,33,-0.1128,0.754390284,red
2021,34,0.3106,0.614156983,red
2021,35,0.1258,0.242190421,red
2021,36,-0.424,0.2757245,red
2021,37,-0.1164,0.70010235,red
2021,38,0.1188,1.137017238,green
2021,39,-0.4334,1.238516774,green
2021,40,0.17,0.943091459,green
2021,41,0.3668,0.928890306,green
2021,42,0.3234,0.313251177,green
2021,43,0.2702,0.524175257,red
2021,44,0.401,0.161528635,green
2021,45,-0.0526,0.574547039,red
2021,46,0.0696,0.291736696,green
2021,47,-0.528,1.158485506,red
2021,48,-0.2336,1.529529764,green
2021,49,0.7566,1.028055592,green
2021,50,-0.3916,1.100164897,red
2021,51,0.58375,1.198328384,red
2021,52,0.1866,0.705498972,green
2022,1,-0.3726,0.934536944,red
2022,2,-0.056,0.837120362,red
2022,3,-1.46975,0.466205516,red
2022,4,0.1886,1.411639933,red
2022,5,0.3136,1.572823353,red
2022,6,-0.3606,1.532277488,red
2022,7,-0.2772,1.352723438,red
2022,8,0.216,1.93590995,green
2022,9,-0.2498,1.261547938,green
2022,10,-0.5498,2.04718812,red
2022,11,1.2062,1.201507886,green
2022,12,0.3696,1.101687025,red
2022,13,0.015,1.102708484,green
2022,14,-0.2338,0.919457829,red
2022,15,-0.545,1.255822705,green
2022,16,-0.5316,1.655575519,red
2022,17,-0.641,2.587897989,red
2022,18,-0.0092,2.389094745,green
2022,19,-0.4546,2.093172067,red
2022,20,-0.5896,2.195642571,green
2022,21,1.2888,1.282234456,red
2022,22,-0.27675,1.525443843,red
